movie_id,title,vote_average,vote_count,status,release_date,revenue,adult,budget,imdb_id,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages
4520553,Cloud Atlas,6.884,6657,Released,10/26/2012,130482868,FALSE,102000000,tt1371111,en,Cloud Atlas,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",23.803,"Drama, Science Fiction","Cloud Atlas Productions, Anarchos Productions, X Filme Creative Pool, ARD Degeto, A Company","Germany, United States of America",English
4520554,TRON: Legacy,6.459,6648,Released,12/14/2010,400062763,FALSE,170000000,tt1104001,en,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",45.665,"Adventure, Action, Science Fiction","Walt Disney Pictures, Sean Bailey Productions",United States of America,English
4520555,Moonlight,7.392,6641,Released,10/21/2016,65046687,FALSE,4000000,tt4975722,en,Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",16.748,Drama,"A24, Plan B Entertainment, PASTEL",United States of America,English
4520556,Superbad,7.229,6620,Released,3/20/2007,170812526,FALSE,20000000,tt0829482,en,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,51.547,Comedy,"Columbia Pictures, Apatow Productions",United States of America,English
4520557,Fast & Furious Presents: Hobbs & Shaw,6.867,6618,Released,8/1/2019,760098996,FALSE,200000000,tt6806448,en,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",70.691,"Action, Adventure, Comedy","Chris Morgan Productions, Seven Bucks Productions, Universal Pictures",United States of America,"English, Russian, Samoan"
4520558,The Croods,6.913,6607,Released,3/15/2013,587204668,FALSE,135000000,tt0481499,en,The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",38.079,"Animation, Adventure, Family, Fantasy, Comedy, Action","DreamWorks Animation, 20th Century Fox",United States of America,English
4520559,Rush,7.708,6598,Released,9/2/2013,90247624,FALSE,38000000,tt1979320,en,Rush,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",32.222,"Drama, Action","Revolution Films, Working Title Films, Imagine Entertainment","United Kingdom, United States of America","English, German, Italian, French"
4520560,Jurassic Park III,6.126,6592,Released,7/18/2001,368780809,FALSE,93000000,tt0163025,en,Jurassic Park III,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",1.49,"Adventure, Action, Thriller, Science Fiction","Universal Pictures, Amblin Entertainment",United States of America,"English, Spanish"
4520561,Tomorrowland,6.257,6591,Released,5/19/2015,209154322,FALSE,190000000,tt1964418,en,Tomorrowland,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",45.045,"Adventure, Family, Mystery, Science Fiction","Babieka Films, Walt Disney Pictures, A113",United States of America,English
4520562,Neighbors,6.178,6569,Released,5/8/2014,270665134,FALSE,18000000,tt2004420,en,Neighbors,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,17.158,Comedy,"Good Universe, Universal Pictures, Point Grey Pictures",United States of America,English
